,DegreeCentrality,EigenVectorCentrality,KatzCentrality,BetweennessCentrality,ClosenessCentrality,FlowClosenessCentrality,HarmonicCentrality,LaplacianCentrality,Triangles,Clustering,Squares,GeneralizedDegree
293460242,0.0006583278472679394,1.3913949082486188e-09,0.014945970573370966,0.05398361981041001,0.029447305671691945,4.409726168054704e-05,182.83768884743066,0.0005691519635737222,0,0.0,0.0,Counter({0: 3})
293463096,0.0006583278472679394,4.871943855026543e-09,0.014634271780601206,0.006597165886133071,0.025831429656544586,3.791745599261708e-05,156.21175390464663,0.0004932650350964621,0,0.0,0.0,Counter({0: 3})
295917924,0.0006583278472679394,3.193982211067923e-09,0.014946180752589628,0.06372707128853664,0.031179654197997987,4.741912064059438e-05,186.6198481505967,0.0005691519635751026,0,0.0,0.09090909090909091,Counter({0: 3})
295918570,0.0006583278472679394,1.2272613973686286e-08,0.014942909723609687,0.001195766653708486,0.02886863094144552,4.515459090279234e-05,172.65439670763783,0.0005691519635741363,0,0.0,0.09090909090909091,Counter({0: 3})
384700034,0.0006583278472679394,1.0100081591406275e-07,0.014911225997424405,0.003944334503496147,0.02921135120928712,4.276368523634194e-05,178.70297271502287,0.0005691519635748264,0,0.0,0.0,Counter({0: 3})
384700039,0.0006583278472679394,1.0344145963915722e-07,0.014946203820290606,0.021401782944278146,0.030648274563344475,4.3868724602099115e-05,187.69454861422543,0.0005691519635739982,0,0.0,0.09090909090909091,Counter({0: 3})
384711098,0.0006583278472679394,7.494917330059371e-08,0.015125726519618589,0.15158301802429958,0.03236988471291883,4.950040052424898e-05,195.07218887089698,0.0006070954278124212,0,0.0,0.07692307692307693,Counter({0: 3})
384711102,0.0006583278472679394,6.852619046739985e-08,0.015154793964716435,0.008812293804059925,0.03175897468063309,4.862028846422309e-05,190.0335916006967,0.0006070954278122832,0,0.0,0.07692307692307693,Counter({0: 3})
447768546,0.0006583278472679394,1.886849937094351e-07,0.014968126688959632,0.003477797650923482,0.023260443464412594,3.959046005798927e-05,142.11566167462354,0.0005691519635745504,0,0.0,0.09090909090909091,Counter({0: 3})
447768547,0.0006583278472679394,8.17212579482771e-08,0.014948503079967862,0.002930624236101024,0.022777141886049315,3.904949546349758e-05,139.18660888255482,0.0005691519635746884,0,0.0,0.09090909090909091,Counter({0: 3})
447768550,0.0006583278472679394,4.210476240259835e-08,0.014946499772840651,0.0012938679843238533,0.022310675048469536,3.899718984847205e-05,136.33742886543723,0.0005691519635744124,0,0.0,0.09090909090909091,Counter({0: 3})
