,DegreeCentrality,EigenVectorCentrality,KatzCentrality,BetweennessCentrality,ClosenessCentrality,FlowClosenessCentrality,HarmonicCentrality
293460242,0.0006583278472679394,7.109323386059694e-10,0.01471425217304879,0.06721371745616879,0.053515373968273855,2.410357993765848e-05,332.85118352186316
293463096,0.0006583278472679394,1.976983202734153e-06,0.014643082714379769,0.010877533488118407,0.046927875029039556,2.0306236923559617e-05,286.5671194098363
295917924,0.0006583278472679394,2.4154796648094202e-11,0.01495735216281765,0.051618440667873626,0.05656264002988826,2.6079122035137223e-05,337.7291695349163
295918570,0.0006583278472679394,1.7671433460193086e-11,0.014889181317497974,0.0007502278716012163,0.05301770896067326,2.4750658343783892e-05,317.3048346856153
384700034,0.0006583278472679394,1.823510485206295e-10,0.0148034819436611,0.004172636796654146,0.05319898938441451,2.3122928275505837e-05,329.5703050361674
384700039,0.0006583278472679394,2.682122584606718e-10,0.014860613900277354,0.023635983040303267,0.05589061614368204,2.386271995664433e-05,344.63701451725626
384711098,0.0006583278472679394,2.484376342574903e-10,0.014809986096749638,0.1610609979828876,0.05863100790024414,2.7009274859174132e-05,355.3811307642773
384711102,0.0006583278472679394,1.491436631464833e-10,0.014674857983587355,0.00845622312478193,0.05767781337525968,2.642890091707977e-05,347.94599869393306
447768546,0.0006583278472679394,2.0475871789555524e-08,0.014823992202257052,0.0031479611584643487,0.04164730942233059,2.1614029337488104e-05,255.81265480524834
447768547,0.0006583278472679394,7.40092645456853e-09,0.014685735683110955,0.002790379512421242,0.040806665174892516,2.1266117326350173e-05,251.02959488910403
447768550,0.0006583278472679394,4.0092687510912756e-09,0.014744387097996624,0.000759090347742371,0.040015379368974896,2.1265273633293237e-05,245.68216227280536
447768560,0.0006583278472679394,1.6054809332206573e-08,0.014926007268886697,0.003733269908830167,0.042876003988769715,2.1919829664300984e-05,263.09355313599156
452619555,0.0006583278472679394,0.004450097300366804,0.014919515895893017,0.0010353684083166247,0.04487389162325065,2.403839275614658e-05,290.2923848603577
493786371,0.0006583278472679394,7.210005755093133e-07,0.015168691145627416,0.0025458426028090583,0.04085983774243396,1.6159606467428393e-05,237.11758135689746
493883620,0.0006583278472679394,3.707543241515463e-05,0.014946684650075629,0.001162044018377693,0.045765130628773174,2.1095660269162953e-05,276.12754456629136
493883622,0.0008777704630239193,4.181014365606828e-05,0.01572330566373805,0.003435943467420671,0.046431446252031404,2.1377342307814806e-05,281.27443020899193
493885671,0.0006583278472679394,3.9124424422729017e-07,0.015025336897154988,0.0034144134302734096,0.045819596827084474,2.2438540999846498e-05,279.82256403541453
493885679,0.0006583278472679394,5.391276001248437e-07,0.0149846411157404,0.0035842213630758036,0.046929934292218624,2.249707881886944e-05,287.31890920400116
493888787,0.0006583278472679394,3.761573692008741e-09,0.014864533554108132,0.0012094389994803893,0.04053321954888515,2.1358392662348608e-05,250.46897012951615
493888789,0.0006583278472679394,6.393582983420839e-09,0.014867410622521187,0.01076788442868722,0.04138557007053466,2.1791342821033194e-05,258.95024630235935
493893495,0.0006583278472679394,3.63964714436399e-08,0.014957519345627517,0.0003393750374487783,0.04237231748144265,2.1981728967114792e-05,260.1036780531915
493893496,0.0006583278472679394,2.3021709655538563e-08,0.014918665907735582,0.0015734025916577512,0.0418793928332799,2.189982016740563e-05,258.3369455900764
493893507,0.0006583278472679394,3.764228055269929e-07,0.014891077992603575,0.0003895636251611863,0.04046358394954794,2.0451225033157694e-05,246.34847170608202
493893511,0.0006583278472679394,9.162534757051312e-08,0.014861730781459711,0.003150586185364854,0.04121653834528293,2.0955888132641667e-05,254.2580915269916
493893512,0.0006583278472679394,8.711377059715739e-08,0.014886029592238344,0.002949566923543611,0.04079552194659451,2.0580615960156e-05,251.60058322426687
493893524,0.0006583278472679394,2.3163788242918226e-06,0.014946393518524578,0.0007893865297683831,0.04193097746624233,2.0436740830339374e-05,253.28515712764425
493893575,0.0006583278472679394,5.3119731623554314e-08,0.014751086104307419,0.0020552997318330317,0.04051499372611273,2.055135810599866e-05,252.52787709970534
493893576,0.0006583278472679394,4.705706540610513e-10,0.014922529753095968,0.0036534594579285735,0.039869133787913826,2.0828964606702346e-05,247.6496238128421
493893633,0.0006583278472679394,2.1031461159737668e-10,0.01489429538403562,0.0008305922272616317,0.03870416941637221,2.0671261257786834e-05,240.13836118859874
493893647,0.0006583278472679394,1.5530216451106417e-07,0.014905344580285062,0.0002494979696259823,0.04012738700310681,2.0397736733890638e-05,245.86005240399814
